index,org_code,period,attendances,breaches
282,RTE,Mar-17,"11,503.0","2,555.0"
283,RN3,Mar-17,"6,515.0","1,826.0"
285,RN5,Mar-17,"9,087.0",410.0
288,R1F,Mar-17,"3,477.0",788.0
292,RWF,Mar-17,"11,963.0","1,448.0"
294,RPA,Mar-17,"10,452.0","2,351.0"
295,RVJ,Mar-17,"7,222.0",844.0
296,RBZ,Mar-17,"3,521.0",661.0
300,RTH,Mar-17,"11,198.0","1,676.0"
303,RK9,Mar-17,"8,345.0","1,284.0"
305,RD3,Mar-17,"5,584.0",361.0
307,RHU,Mar-17,"9,418.0","2,688.0"
311,RHW,Mar-17,"9,380.0",594.0
313,REF,Mar-17,"6,059.0","1,664.0"
315,RH8,Mar-17,"8,240.0",614.0
317,RA2,Mar-17,"5,854.0",205.0
320,RNZ,Mar-17,"3,807.0",303.0
328,RTP,Mar-17,"8,344.0",412.0
330,RBA,Mar-17,"5,394.0",311.0
332,RDZ,Mar-17,"6,326.0",428.0
334,RA9,Mar-17,"5,933.0",503.0
336,RHM,Mar-17,"8,622.0","1,012.0"
338,RA7,Mar-17,"9,307.0","1,869.0"
340,RYR,Mar-17,"11,417.0",515.0
342,RA3,Mar-17,"4,350.0",972.0
347,RA4,Mar-17,"3,963.0",62.0
348,RF4,Feb-17,"17,917.0","2,694.0"
351,R1H,Feb-17,"25,955.0","6,186.0"
356,RQM,Feb-17,"14,482.0","1,942.0"
358,RJ6,Feb-17,"5,761.0","1,374.0"
362,RVR,Feb-17,"10,654.0",534.0
364,RJ1,Feb-17,"10,683.0","1,471.0"
368,RQX,Feb-17,"8,790.0",507.0
370,RYJ,Feb-17,"8,452.0","2,565.0"
373,RJZ,Feb-17,"15,070.0","3,754.0"
376,RAX,Feb-17,"7,677.0","1,121.0"
378,RJ2,Feb-17,"16,054.0","3,095.0"
380,R1K,Feb-17,"10,644.0","4,616.0"
384,RAP,Feb-17,"13,091.0","2,314.0"
388,RAL,Feb-17,"16,388.0","2,485.0"
391,RJ7,Feb-17,"11,454.0","1,178.0"
394,RAS,Feb-17,"5,179.0","2,175.0"
398,RKE,Feb-17,"7,431.0",995.0
399,RRV,Feb-17,"10,584.0","1,144.0"
404,RDD,Feb-17,"10,152.0",847.0
405,RC1,Feb-17,"5,530.0",444.0
407,RQ3,Feb-17,"4,586.0",183.0
408,RJF,Feb-17,"4,493.0",498.0
410,RGT,Feb-17,"8,094.0","2,093.0"
412,RFS,Feb-17,"5,840.0",703.0
414,RDE,Feb-17,"6,371.0",779.0
417,RTG,Feb-17,"9,800.0","1,367.0"
421,RWH,Feb-17,"8,079.0","1,935.0"
425,RLT,Feb-17,"5,658.0","1,015.0"
428,RR1,Feb-17,"16,808.0","3,902.0"
