index,org_code,period,admissions
445,RQ8,2017-02-01,2121
447,RD8,2017-02-01,1305
450,RM1,2017-02-01,2264
452,RGN,2017-02-01,2107
454,RNS,2017-02-01,2812
458,RX1,2017-02-01,3507
465,RXK,2017-02-01,2869
468,RK5,2017-02-01,2372
470,RXW,2017-02-01,2195
475,RJC,2017-02-01,1571
477,RAJ,2017-02-01,2123
480,RNA,2017-02-01,2149
482,RQW,2017-02-01,1494
483,RCX,2017-02-01,1981
484,RL4,2017-02-01,2276
486,RWD,2017-02-01,3123
487,RRK,2017-02-01,2531
488,RKB,2017-02-01,3448
491,RWE,2017-02-01,3361
494,RJE,2017-02-01,4000
497,RBK,2017-02-01,1693
500,RWG,2017-02-01,2473
502,RGR,2017-02-01,1860
503,RWP,2017-02-01,2602
505,RLQ,2017-02-01,1062
507,REM,2017-02-01,2244
509,RCF,2017-02-01,971
510,RBS,2017-02-01,963
511,RFF,2017-02-01,1999
512,RXL,2017-02-01,2021
514,RMC,2017-02-01,2040
516,RAE,2017-02-01,2667
519,RWY,2017-02-01,2408
520,RW3,2017-02-01,3303
523,RLN,2017-02-01,2545
526,RJR,2017-02-01,1338
528,RXP,2017-02-01,3128
531,RP5,2017-02-01,2945
533,RJN,2017-02-01,858
535,RXR,2017-02-01,2836
538,RR7,2017-02-01,1488
540,RCD,2017-02-01,787
542,RWA,2017-02-01,2887
545,RXN,2017-02-01,1545
548,RR8,2017-02-01,4782
554,RBT,2017-02-01,1594
556,RXF,2017-02-01,4347
557,RNL,2017-02-01,1819
558,RVW,2017-02-01,1510
562,RJL,2017-02-01,2400
564,RTF,2017-02-01,3497
566,RW6,2017-02-01,4778
569,RQ6,2017-02-01,1961
572,RM3,2017-02-01,2331
574,RCU,2017-02-01,612
575,RHQ,2017-02-01,2550
578,RTR,2017-02-01,1761
580,RE9,2017-02-01,1135
582,RVY,2017-02-01,1637
584,RBN,2017-02-01,3010
586,RWJ,2017-02-01,2139
587,RMP,2017-02-01,1570
588,RTD,2017-02-01,2019
591,RFR,2017-02-01,1408
593,RM2,2017-02-01,2367
594,RTX,2017-02-01,1825
596,RWW,2017-02-01,2261
599,RBL,2017-02-01,2114
602,RRF,2017-02-01,1585
603,RCB,2017-02-01,3062
605,RTK,2017-02-01,1875
611,RXH,2017-02-01,3149
614,RXQ,2017-02-01,2550
620,RN7,2017-02-01,2137
622,RBD,2017-02-01,1171
624,RVV,2017-02-01,3030
626,RXC,2017-02-01,2433
628,RDU,2017-02-01,5308
630,RTE,2017-02-01,3207
631,RN3,2017-02-01,2077
633,RN5,2017-02-01,2054
636,R1F,2017-02-01,666
640,RWF,2017-02-01,3204
642,RPA,2017-02-01,1948
643,RVJ,2017-02-01,2097
644,RBZ,2017-02-01,953
648,RTH,2017-02-01,2794
651,RK9,2017-02-01,2656
653,RD3,2017-02-01,1465
655,RHU,2017-02-01,2452
659,RHW,2017-02-01,2665
661,REF,2017-02-01,2344
663,RH8,2017-02-01,1699
665,RA2,2017-02-01,1786
666,RD1,2017-02-01,1753
668,RNZ,2017-02-01,954
676,RTP,2017-02-01,2172
678,RBA,2017-02-01,1584
680,RDZ,2017-02-01,1706
682,RA9,2017-02-01,2243
684,RHM,2017-02-01,2937
686,RA7,2017-02-01,2597
688,RYR,2017-02-01,2840
690,RA3,2017-02-01,910
695,RA4,2017-02-01,1270
696,RF4,2017-01-01,4519
699,R1H,2017-01-01,6435
704,RQM,2017-01-01,3339
706,RJ6,2017-01-01,2197
710,RVR,2017-01-01,3264
712,RJ1,2017-01-01,3149
716,RQX,2017-01-01,1639
718,RYJ,2017-01-01,3139
721,RJZ,2017-01-01,4419
724,RAX,2017-01-01,1782
726,RJ2,2017-01-01,4657
728,R1K,2017-01-01,4587
732,RAP,2017-01-01,2498
736,RAL,2017-01-01,3556
739,RJ7,2017-01-01,3871
742,RAS,2017-01-01,1856
746,RKE,2017-01-01,1268
747,RRV,2017-01-01,2030
751,RDD,2017-01-01,2361
752,RC1,2017-01-01,1908
754,RQ3,2017-01-01,1072
755,RJF,2017-01-01,1914
757,RGT,2017-01-01,3100
759,RFS,2017-01-01,2059
761,RDE,2017-01-01,2597
764,RTG,2017-01-01,3700
768,RWH,2017-01-01,3300
772,RLT,2017-01-01,1138
775,RR1,2017-01-01,5787
778,RQQ,2017-01-01,802
779,RGQ,2017-01-01,2123
781,RGP,2017-01-01,1281
783,RNQ,2017-01-01,2378
787,RC9,2017-01-01,2711
792,RQ8,2017-01-01,2374
794,RD8,2017-01-01,1307
797,RM1,2017-01-01,2275
799,RGN,2017-01-01,2211
801,RNS,2017-01-01,2380
805,RX1,2017-01-01,4073
812,RXK,2017-01-01,3212
815,RK5,2017-01-01,2788
817,RXW,2017-01-01,2360
822,RJC,2017-01-01,1700
824,RAJ,2017-01-01,2446
826,RNA,2017-01-01,2460
828,RQW,2017-01-01,1525
829,RCX,2017-01-01,2142
830,RL4,2017-01-01,2700
832,RWD,2017-01-01,3522
833,RRK,2017-01-01,2919
834,RKB,2017-01-01,3874
837,RWE,2017-01-01,3729
840,RJE,2017-01-01,4206
843,RBK,2017-01-01,1965
846,RWG,2017-01-01,2768
848,RGR,2017-01-01,2019
849,RWP,2017-01-01,2928
852,RLQ,2017-01-01,1084
854,REM,2017-01-01,2229
856,RCF,2017-01-01,997
857,RBS,2017-01-01,1111
858,RFF,2017-01-01,2227
859,RXL,2017-01-01,2136
861,RMC,2017-01-01,2334
863,RAE,2017-01-01,3075
866,RWY,2017-01-01,2746
867,RW3,2017-01-01,3687
870,RLN,2017-01-01,2838
873,RJR,2017-01-01,1599
875,RXP,2017-01-01,3465
878,RP5,2017-01-01,3376
880,RJN,2017-01-01,980
882,RXR,2017-01-01,3153
885,RR7,2017-01-01,1687
887,RCD,2017-01-01,917
889,RWA,2017-01-01,3163
892,RXN,2017-01-01,1787
895,RR8,2017-01-01,5056
901,RBT,2017-01-01,1636
903,RXF,2017-01-01,4642
904,RNL,2017-01-01,2072
905,RVW,2017-01-01,1729
909,RJL,2017-01-01,2569
911,RTF,2017-01-01,3831
913,RW6,2017-01-01,5261
916,RQ6,2017-01-01,2204
919,RM3,2017-01-01,2643
920,RCU,2017-01-01,626
921,RHQ,2017-01-01,2976
924,RTR,2017-01-01,2065
926,RE9,2017-01-01,1266
928,RVY,2017-01-01,1814
930,RBN,2017-01-01,3250
932,RWJ,2017-01-01,2355
933,RMP,2017-01-01,1773
934,RTD,2017-01-01,2200
937,RFR,2017-01-01,1575
939,RM2,2017-01-01,2563
940,RTX,2017-01-01,2051
942,RWW,2017-01-01,2661
945,RBL,2017-01-01,2527
948,RRF,2017-01-01,1798
949,RCB,2017-01-01,3362
951,RTK,2017-01-01,2099
957,RXH,2017-01-01,3274
960,RXQ,2017-01-01,2746
966,RN7,2017-01-01,2325
968,RBD,2017-01-01,1326
970,RVV,2017-01-01,3216
972,RXC,2017-01-01,2663
974,RDU,2017-01-01,6133
976,RTE,2017-01-01,3482
977,RN3,2017-01-01,2425
979,RN5,2017-01-01,2429
982,R1F,2017-01-01,830
986,RWF,2017-01-01,3431
988,RPA,2017-01-01,2061
989,RVJ,2017-01-01,2380
990,RBZ,2017-01-01,1128
994,RTH,2017-01-01,3223
997,RK9,2017-01-01,2945
999,RD3,2017-01-01,1777
1001,RHU,2017-01-01,2979
1005,RHW,2017-01-01,3112
1007,REF,2017-01-01,2515
1009,RH8,2017-01-01,1954
1011,RA2,2017-01-01,2059
1012,RD1,2017-01-01,2167
1014,RNZ,2017-01-01,1126
1022,RTP,2017-01-01,2391
1024,RBA,2017-01-01,1823
1026,RDZ,2017-01-01,1982
1028,RA9,2017-01-01,2540
1030,RHM,2017-01-01,3311
1032,RA7,2017-01-01,2967
1034,RYR,2017-01-01,3159
1036,RA3,2017-01-01,1074
1041,RA4,2017-01-01,1578
1042,RF4,2016-12-01,4644
1045,R1H,2016-12-01,6780
1050,RQM,2016-12-01,3671
1052,RJ6,2016-12-01,2190
1056,RVR,2016-12-01,3414
1058,RJ1,2016-12-01,3216
1062,RQX,2016-12-01,1733
1064,RYJ,2016-12-01,3274
1067,RJZ,2016-12-01,4487
1070,RAX,2016-12-01,1896
1072,RJ2,2016-12-01,5098
1074,R1K,2016-12-01,4705
1078,RAP,2016-12-01,2657
1082,RAL,2016-12-01,3816
1085,RJ7,2016-12-01,3818
1088,RAS,2016-12-01,1731
1092,RKE,2016-12-01,1307
1093,RRV,2016-12-01,2001
1097,RDD,2016-12-01,2484
1098,RC1,2016-12-01,1916
1100,RQ3,2016-12-01,985
1101,RJF,2016-12-01,1793
1103,RGT,2016-12-01,3084
1105,RFS,2016-12-01,1980
1107,RDE,2016-12-01,2555
1109,RTG,2016-12-01,3702
1113,RWH,2016-12-01,3408
1117,RLT,2016-12-01,1100
1120,RR1,2016-12-01,5865
1123,RQQ,2016-12-01,740
1124,RGQ,2016-12-01,2078
1126,RGP,2016-12-01,1296
1128,RNQ,2016-12-01,2584
1132,RC9,2016-12-01,2760
1137,RQ8,2016-12-01,2475
1139,RD8,2016-12-01,1336
1142,RM1,2016-12-01,2533
1145,RGN,2016-12-01,2233
1147,RNS,2016-12-01,2568
1151,RX1,2016-12-01,4212
1158,RXK,2016-12-01,3339
1161,RK5,2016-12-01,2828
1163,RXW,2016-12-01,2323
1168,RJC,2016-12-01,1655
1170,RAJ,2016-12-01,2428
1172,RNA,2016-12-01,2687
1174,RQW,2016-12-01,1616
1175,RCX,2016-12-01,1907
1176,RL4,2016-12-01,2588
1178,RWD,2016-12-01,3594
1179,RRK,2016-12-01,2882
1180,RKB,2016-12-01,3930
1183,RWE,2016-12-01,3942
1186,RJE,2016-12-01,4458
1189,RBK,2016-12-01,1888
1192,RWG,2016-12-01,3012
1194,RGR,2016-12-01,1977
1195,RWP,2016-12-01,2968
1198,RLQ,2016-12-01,1123
1200,REM,2016-12-01,2202
1202,RCF,2016-12-01,1042
1203,RBS,2016-12-01,1091
1204,RFF,2016-12-01,2140
1205,RXL,2016-12-01,2251
1207,RMC,2016-12-01,2430
1209,RAE,2016-12-01,3285
1212,RWY,2016-12-01,2701
1214,RW3,2016-12-01,3754
1217,RLN,2016-12-01,2926
1220,RJR,2016-12-01,1548
1222,RXP,2016-12-01,3302
1225,RP5,2016-12-01,3422
1227,RJN,2016-12-01,1006
1229,RXR,2016-12-01,3253
1232,RR7,2016-12-01,1755
1234,RCD,2016-12-01,998
1236,RWA,2016-12-01,3376
1239,RXN,2016-12-01,2045
1242,RR8,2016-12-01,5030
1248,RBT,2016-12-01,1813
1250,RXF,2016-12-01,4750
1251,RNL,2016-12-01,2105
1252,RVW,2016-12-01,1787
1256,RJL,2016-12-01,2655
1258,RTF,2016-12-01,3799
1260,RW6,2016-12-01,5449
1263,RQ6,2016-12-01,2198
1266,RM3,2016-12-01,2898
1267,RCU,2016-12-01,664
1268,RHQ,2016-12-01,2771
1271,RTR,2016-12-01,2103
1273,RE9,2016-12-01,1290
1275,RVY,2016-12-01,2014
1277,RBN,2016-12-01,3333
1279,RWJ,2016-12-01,2484
1280,RMP,2016-12-01,1764
1281,RTD,2016-12-01,2361
1284,RFR,2016-12-01,721
1285,RM2,2016-12-01,2796
1286,RTX,2016-12-01,2214
1288,RWW,2016-12-01,2639
1291,RBL,2016-12-01,2588
1294,RRF,2016-12-01,1864
1295,RCB,2016-12-01,3464
1297,RTK,2016-12-01,2095
1303,RXH,2016-12-01,3467
1306,RXQ,2016-12-01,2895
1312,RN7,2016-12-01,2565
1314,RBD,2016-12-01,1274
1316,RVV,2016-12-01,3384
1318,RXC,2016-12-01,2793
1320,RDU,2016-12-01,6370
1322,RTE,2016-12-01,3396
1323,RN3,2016-12-01,2415
1325,RN5,2016-12-01,2445
1328,R1F,2016-12-01,821
1332,RWF,2016-12-01,3546
1334,RPA,2016-12-01,2248
1335,RVJ,2016-12-01,2323
1336,RBZ,2016-12-01,1099
1340,RTH,2016-12-01,3612
1343,RK9,2016-12-01,2905
1345,RD3,2016-12-01,1688
1347,RHU,2016-12-01,3018
1351,RHW,2016-12-01,3095
1353,REF,2016-12-01,2617
1355,RH8,2016-12-01,1972
1357,RA2,2016-12-01,2166
1358,RD1,2016-12-01,2144
1360,RNZ,2016-12-01,1051
1368,RTP,2016-12-01,2659
1370,RBA,2016-12-01,1853
1372,RDZ,2016-12-01,1823
1374,RA9,2016-12-01,2584
1376,RHM,2016-12-01,3308
1378,RA7,2016-12-01,3021
1380,RYR,2016-12-01,3532
1382,RA3,2016-12-01,1016
1387,RA4,2016-12-01,1535
1388,RF4,2016-11-01,4441
1391,R1H,2016-11-01,6612
1396,RQM,2016-11-01,3399
1398,RJ6,2016-11-01,2207
1402,RVR,2016-11-01,3066
1404,RJ1,2016-11-01,3123
1408,RQX,2016-11-01,1605
1410,RYJ,2016-11-01,3058
1413,RJZ,2016-11-01,4329
1416,RAX,2016-11-01,1731
1418,RJ2,2016-11-01,4868
1420,R1K,2016-11-01,4715
1424,RAP,2016-11-01,2877
1428,RAL,2016-11-01,3816
1431,RJ7,2016-11-01,3709
1434,RAS,2016-11-01,1766
1438,RKE,2016-11-01,1270
1439,RRV,2016-11-01,1979
1443,RDD,2016-11-01,2268
1444,RC1,2016-11-01,1694
1446,RQ3,2016-11-01,1116
1447,RJF,2016-11-01,1723
1449,RGT,2016-11-01,2823
1451,RFS,2016-11-01,1954
1453,RDE,2016-11-01,2388
1455,RTG,2016-11-01,3363
1459,RWH,2016-11-01,3258
1463,RLT,2016-11-01,1129
1466,RR1,2016-11-01,5986
1469,RQQ,2016-11-01,734
1470,RGQ,2016-11-01,1959
1472,RGP,2016-11-01,1228
1474,RNQ,2016-11-01,2388
1478,RC9,2016-11-01,2574
1483,RQ8,2016-11-01,2093
1485,RD8,2016-11-01,1327
1488,RM1,2016-11-01,2392
1491,RGN,2016-11-01,2019
1493,RNS,2016-11-01,2653
1497,RX1,2016-11-01,4125
1504,RXK,2016-11-01,3228
1507,RK5,2016-11-01,2805
1509,RXW,2016-11-01,2188
1514,RJC,2016-11-01,1702
1516,RAJ,2016-11-01,2239
1518,RNA,2016-11-01,2431
1520,RQW,2016-11-01,1747
1521,RCX,2016-11-01,1853
1522,RL4,2016-11-01,2546
1524,RWD,2016-11-01,3417
1525,RRK,2016-11-01,2682
1526,RKB,2016-11-01,3862
1529,RWE,2016-11-01,3642
1532,RJE,2016-11-01,4332
1535,RBK,2016-11-01,1872
1538,RWG,2016-11-01,2908
1540,RGR,2016-11-01,1931
1541,RWP,2016-11-01,2819
1544,RLQ,2016-11-01,1037
1546,REM,2016-11-01,2037
1548,RCF,2016-11-01,965
1549,RBS,2016-11-01,1118
1550,RFF,2016-11-01,2082
1551,RXL,2016-11-01,1913
1553,RMC,2016-11-01,2319
1554,RAE,2016-11-01,2992
1557,RWY,2016-11-01,2451
1559,RW3,2016-11-01,3853
1562,RLN,2016-11-01,2704
1565,RJR,2016-11-01,1456
1567,RXP,2016-11-01,3179
1570,RP5,2016-11-01,3322
